DBUID,db_name,area_sq_km,pop_total,pop_male,pop_female,pop_density_km2,density_tier,age_median,age_0_14,age_15_64,age_65_plus,pct_0_14,pct_65_plus,dependency_ratio,private_dwellings,occupied_dwellings,occupancy_rate,avg_household_size,apt_5plus,median_household_income,pct_low_income_lico,median_after_tax_income,avg_total_income
35202894001,35202894001,0.0547,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67000,10,20,60800
35280257004,35280257004,0.0267,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37600,8.5,25,35600
35100331022,35100331022,0.0143,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112000,2.1,15,96000
35280258007,35280258007,0.0326,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78000,2,15,71000
35202772009,35202772009,0.0151,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250000,5.2,0,190000
35430550005,35430550005,0.0585,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52000,NA,5,51200
35202773004,35202773004,0.0337,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222000,4,0,168000
35280259003,35280259003,0.9462,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79500,2.4,0,71500
35202774001,35202774001,0.0339,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196000,6,5,154000
35431181006,35431181006,0.0192,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61600,7.2,20,57200
35190980010,35190980010,0.0104,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124000,NA,0,105000
35202775002,35202775002,0.0544,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372000,NA,0,252000
35202775003,35202775003,0.0205,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372000,NA,0,252000
35202776002,35202776002,0.0115,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360000,6.4,0,254000
35431183001,35431183001,0.0265,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66000,6.4,10,58000
35202776003,35202776003,0.0172,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360000,6.4,0,254000
35202778001,35202778001,0.0156,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140000,5.2,5,116000
35202778002,35202778002,0.0274,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140000,5.2,5,116000
35431183002,35431183002,0.0272,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66000,6.4,10,58000
35181192021,35181192021,0.1916,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114000,1.6,0,100000
35202895004,35202895004,0.039,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148000,3.6,0,111000
35060663025,35060663025,0.0158,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121000,4.2,10,104000
35060663026,35060663026,0.0108,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121000,4.2,10,104000
35060668007,35060668007,0.0387,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144000,NA,0,118000
35202896002,35202896002,0.0206,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314000,6.8,0,226000
35100307008,35100307008,0.9004,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93000,1.8,10,79000
35100308001,35100308001,7.5841,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84000,1,5,76500
35020129014,35020129014,1.6886,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99000,NA,5,86000
35020131006,35020131006,0.3331,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72000,1.6,15,64000
35202896003,35202896003,0.0249,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314000,6.8,0,226000
35020132004,35020132004,0.0331,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101000,0.8,5,87000
35202896004,35202896004,0.0182,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314000,6.8,0,226000
35202896005,35202896005,0.0063,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314000,6.8,0,226000
35202896006,35202896006,0.022,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314000,6.8,0,226000
35202897002,35202897002,0.0205,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,440000,6,0,302000
35020135005,35020135005,0.0106,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117000,0.3,10,101000
35020135007,35020135007,0.0162,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117000,0.3,10,101000
35020135009,35020135009,0.0269,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117000,0.3,10,101000
35020135023,35020135023,0.0335,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117000,0.3,10,101000
35202941003,35202941003,0.0344,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252000,3.2,0,194000
