ElectoralDistrictID,District,Bureau,Poste,Candidat,Partie,Votes,TotalValidVotes,TotalRejectedVotes,TotalVotes
11,11-Sault-au-Récollet,022,"0,00",HU Fang,Indépendant,0,87,1,88
11,11-Sault-au-Récollet,022,"0,00",LE ROUGETEL Katy,Indépendant,0,87,1,88
11,11-Sault-au-Récollet,022,"0,00",THIBODEAU Gilbert,Action Montréal - Équipe Gilbert Thibodeau,31,87,1,88
11,11-Sault-au-Récollet,022,"0,00",MARTINEZ FERRADA Soraya,Ensemble Montréal - Équipe Soraya,16,87,1,88
11,11-Sault-au-Récollet,022,"0,00",KACOU Jean-François,Futur Montréal,4,87,1,88
11,11-Sault-au-Récollet,022,"0,00",RABOUIN Luc,Projet Montréal - Équipe Luc Rabouin,21,87,1,88
11,11-Sault-au-Récollet,022,"0,00",SAUVÉ Craig,Transition Montréal - Équipe Craig Sauvé,6,87,1,88
11,11-Sault-au-Récollet,023,"0,00",DUVAL Jean,Indépendant,0,119,4,123
11,11-Sault-au-Récollet,023,"0,00",HU Fang,Indépendant,0,119,4,123
11,11-Sault-au-Récollet,023,"0,00",LE ROUGETEL Katy,Indépendant,0,119,4,123
11,11-Sault-au-Récollet,023,"0,00",THIBODEAU Gilbert,Action Montréal - Équipe Gilbert Thibodeau,25,119,4,123
11,11-Sault-au-Récollet,023,"0,00",MARTINEZ FERRADA Soraya,Ensemble Montréal - Équipe Soraya,37,119,4,123
11,11-Sault-au-Récollet,023,"0,00",KACOU Jean-François,Futur Montréal,0,119,4,123
11,11-Sault-au-Récollet,023,"0,00",RABOUIN Luc,Projet Montréal - Équipe Luc Rabouin,51,119,4,123
11,11-Sault-au-Récollet,023,"0,00",SAUVÉ Craig,Transition Montréal - Équipe Craig Sauvé,6,119,4,123
11,11-Sault-au-Récollet,024,"0,00",DUVAL Jean,Indépendant,0,137,3,140
11,11-Sault-au-Récollet,024,"0,00",HU Fang,Indépendant,0,137,3,140
11,11-Sault-au-Récollet,024,"0,00",LE ROUGETEL Katy,Indépendant,0,137,3,140
11,11-Sault-au-Récollet,024,"0,00",THIBODEAU Gilbert,Action Montréal - Équipe Gilbert Thibodeau,17,137,3,140
11,11-Sault-au-Récollet,024,"0,00",MARTINEZ FERRADA Soraya,Ensemble Montréal - Équipe Soraya,67,137,3,140
11,11-Sault-au-Récollet,024,"0,00",KACOU Jean-François,Futur Montréal,4,137,3,140
11,11-Sault-au-Récollet,024,"0,00",RABOUIN Luc,Projet Montréal - Équipe Luc Rabouin,40,137,3,140
11,11-Sault-au-Récollet,024,"0,00",SAUVÉ Craig,Transition Montréal - Équipe Craig Sauvé,9,137,3,140
11,11-Sault-au-Récollet,025,"0,00",DUVAL Jean,Indépendant,0,121,3,124
11,11-Sault-au-Récollet,025,"0,00",HU Fang,Indépendant,1,121,3,124
11,11-Sault-au-Récollet,025,"0,00",LE ROUGETEL Katy,Indépendant,0,121,3,124
11,11-Sault-au-Récollet,025,"0,00",THIBODEAU Gilbert,Action Montréal - Équipe Gilbert Thibodeau,27,121,3,124
11,11-Sault-au-Récollet,025,"0,00",MARTINEZ FERRADA Soraya,Ensemble Montréal - Équipe Soraya,47,121,3,124
11,11-Sault-au-Récollet,025,"0,00",KACOU Jean-François,Futur Montréal,1,121,3,124
11,11-Sault-au-Récollet,025,"0,00",RABOUIN Luc,Projet Montréal - Équipe Luc Rabouin,33,121,3,124
11,11-Sault-au-Récollet,025,"0,00",SAUVÉ Craig,Transition Montréal - Équipe Craig Sauvé,12,121,3,124
11,11-Sault-au-Récollet,026,"0,00",DUVAL Jean,Indépendant,1,139,7,146
11,11-Sault-au-Récollet,026,"0,00",HU Fang,Indépendant,0,139,7,146
11,11-Sault-au-Récollet,026,"0,00",LE ROUGETEL Katy,Indépendant,0,139,7,146
11,11-Sault-au-Récollet,026,"0,00",THIBODEAU Gilbert,Action Montréal - Équipe Gilbert Thibodeau,27,139,7,146
11,11-Sault-au-Récollet,026,"0,00",MARTINEZ FERRADA Soraya,Ensemble Montréal - Équipe Soraya,51,139,7,146
11,11-Sault-au-Récollet,026,"0,00",KACOU Jean-François,Futur Montréal,9,139,7,146
11,11-Sault-au-Récollet,026,"0,00",RABOUIN Luc,Projet Montréal - Équipe Luc Rabouin,47,139,7,146
11,11-Sault-au-Récollet,026,"0,00",SAUVÉ Craig,Transition Montréal - Équipe Craig Sauvé,4,139,7,146
11,11-Sault-au-Récollet,027,"0,00",DUVAL Jean,Indépendant,0,128,2,130
11,11-Sault-au-Récollet,027,"0,00",HU Fang,Indépendant,0,128,2,130
11,11-Sault-au-Récollet,027,"0,00",LE ROUGETEL Katy,Indépendant,0,128,2,130
11,11-Sault-au-Récollet,027,"0,00",THIBODEAU Gilbert,Action Montréal - Équipe Gilbert Thibodeau,15,128,2,130
11,11-Sault-au-Récollet,027,"0,00",MARTINEZ FERRADA Soraya,Ensemble Montréal - Équipe Soraya,69,128,2,130
11,11-Sault-au-Récollet,027,"0,00",KACOU Jean-François,Futur Montréal,2,128,2,130
11,11-Sault-au-Récollet,027,"0,00",RABOUIN Luc,Projet Montréal - Équipe Luc Rabouin,29,128,2,130
11,11-Sault-au-Récollet,027,"0,00",SAUVÉ Craig,Transition Montréal - Équipe Craig Sauvé,13,128,2,130
